country,countrycode,ts,type,sport,event,medalist
Russia,RUS,2016-08-14T20:48:00Z,Gold,Wrestling,Men's Greco-Roman 75 kg,Roman Vlasov
Russia,RUS,2016-08-14T20:02:00Z,Gold,Gymnastics Artistic,Women's Uneven Bars,Aliya Mustafina
Russia,RUS,2016-08-14T18:17:00Z,Silver,Gymnastics Artistic,Women's Vault,Maria Paseka
Russia,RUS,2016-08-14T17:35:00Z,Bronze,Sailing,RS:X Women,Stefaniya Elfutina
Russia,RUS,2016-08-14T17:00:00Z,Silver,Shooting,50m Rifle 3 Positions Men,Sergey Kamenskiy
Russia,RUS,2016-08-14T16:30:00Z,Gold,Tennis,Women's Doubles,Makarova/Vesnina
Russia,RUS,2016-08-13T22:15:00Z,Gold,Fencing,Women's Sabre Team,Women's team
Russia,RUS,2016-08-12T22:30:00Z,Gold,Fencing,Men's Foil Team,Men's team
Russia,RUS,2016-08-12T21:08:00Z,Silver,Cycling Track,Women's Team Sprint,Shmeleva/Voinova
Russia,RUS,2016-08-12T14:30:00Z,Bronze,Shooting,50m Rifle Prone Men,Kirill Grigoryan
Russia,RUS,2016-08-12T01:32:00Z,Bronze,Swimming,Men's 200m Backstroke,Evgeny Rylov
Russia,RUS,2016-08-12T01:23:00Z,Silver,Swimming,Women's 200m Breaststroke,Yulia Efimova
Russia,RUS,2016-08-11T21:00:00Z,Bronze,Fencing,Women's ÃpÃ©e Team,Women's team
Russia,RUS,2016-08-11T20:55:00Z,Bronze,Gymnastics Artistic,Women's Individual All-Around,Aliya Mustafina
Russia,RUS,2016-08-11T01:09:00Z,Bronze,Swimming,Men's 200m Breaststroke,Anton Chupkov
Russia,RUS,2016-08-10T23:40:00Z,Gold,Fencing,Women's Foil Individual,Inna Deriglazova
Russia,RUS,2016-08-10T12:46:00Z,Silver,Cycling Road,Women's Individual Time Trial,Olga Zabelinskaya
Russia,RUS,2016-08-09T20:55:00Z,Silver,Gymnastics Artistic,Women's Team,Women's team
Russia,RUS,2016-08-09T20:08:00Z,Gold,Judo,Men -81 kg,Khasan Khalmurzaev
Russia,RUS,2016-08-09T01:59:00Z,Silver,Swimming,Women's 100m Breaststroke,Yulia Efimova
Russia,RUS,2016-08-08T21:40:00Z,Silver,Gymnastics Artistic,Men's Team,Men's team
Russia,RUS,2016-08-08T21:15:00Z,Silver,Fencing,Women's Sabre Individual,Sofya Velikaya
Russia,RUS,2016-08-08T21:15:00Z,Gold,Fencing,Women's Sabre Individual,Yana Egorian
Russia,RUS,2016-08-08T15:30:00Z,Bronze,Shooting,10m Air Rifle Men,Vladimir Maslennikov
Russia,RUS,2016-08-07T20:45:00Z,Bronze,Fencing,Men's Foil Individual,Timur Safin
Russia,RUS,2016-08-07T20:32:00Z,Silver,Archery,Women's Team,Women's team
Russia,RUS,2016-08-07T19:40:00Z,Bronze,Judo,Women -52 kg,Natalia Kuziutina
Russia,RUS,2016-08-07T14:30:00Z,Silver,Shooting,10m Air Pistol Women,Vitalina Batsarashkina
Russia,RUS,2016-08-06T20:08:00Z,Gold,Judo,Men -60 kg,Beslan Mudranov
Singapore,SIN,2016-08-13T01:17:00Z,Gold,Swimming,Men's 100m Butterfly,Joseph Schooling
Slovenia,SLO,2016-08-16T18:35:00Z,Silver,Sailing,Finn Men,Vasilij Zbogar
Slovenia,SLO,2016-08-11T19:40:00Z,Bronze,Judo,Women -78 kg,Anamari Velensek
Slovenia,SLO,2016-08-10T18:47:00Z,Silver,Canoe Slalom,Kayak (K1) Men,Peter Kauzer
Slovenia,SLO,2016-08-09T19:47:00Z,Gold,Judo,Women -63 kg,Tina Trstenjak
Serbia,SRB,2016-08-21T20:29:26Z,Silver,Basketball,Men,Men's team
Serbia,SRB,2016-08-21T03:01:00Z,Silver,Volleyball,Women,Women's team
Serbia,SRB,2016-08-20T21:57:03Z,Gold,Water Polo,Men,Men's team
Serbia,SRB,2016-08-20T16:12:49Z,Bronze,Basketball,Women,Women's team
Serbia,SRB,2016-08-18T12:15:00Z,Silver,Canoe Sprint,Men's Kayak Double 1000m,Tomicevic/Zoric
Serbia,SRB,2016-08-18T01:40:00Z,Bronze,Athletics,Women's Long Jump,Ivana Spanovic
Serbia,SRB,2016-08-18T01:15:00Z,Silver,Taekwondo,Women -49kg,Tijana Bogdanovic
Serbia,SRB,2016-08-16T20:38:00Z,Gold,Wrestling,Men's Greco-Roman 66 kg,Davor Stefanek
Switzerland,SUI,2016-08-21T17:15:00Z,Gold,Cycling Mountain Bike,Men's Cross-country,Nino Schurter
Switzerland,SUI,2016-08-20T16:00:00Z,Silver,Triathlon,Women,Nicola Spirig Hug
Switzerland,SUI,2016-08-14T18:17:00Z,Bronze,Gymnastics Artistic,Women's Vault,Giulia Steingruber
Switzerland,SUI,2016-08-14T16:30:00Z,Silver,Tennis,Women's Doubles,Bacsinszky/Hingis
Switzerland,SUI,2016-08-11T14:51:00Z,Gold,Rowing,Lightweight Men's Four,Men's team
Switzerland,SUI,2016-08-10T16:00:00Z,Gold,Cycling Road,Men's Individual Time Trial,Fabian Cancellara
Switzerland,SUI,2016-08-09T18:55:00Z,Bronze,Shooting,25m Pistol Women,Heidi Diethelm Gerber
Slovakia,SVK,2016-08-20T13:19:00Z,Silver,Canoe Sprint,Men's Kayak Four 1000m,Men's team
Slovakia,SVK,2016-08-19T15:20:00Z,Gold,Athletics,Men's 50km Walk,Matej Toth
Slovakia,SVK,2016-08-11T17:47:00Z,Gold,Canoe Slalom,Canoe Double (C2) Men,Skantar/Skantar
Slovakia,SVK,2016-08-09T18:48:00Z,Silver,Canoe Slalom,Canoe Single (C1) Men,Matej Benus
Sweden,SWE,2016-08-20T17:15:00Z,Gold,Cycling Mountain Bike,Women's Cross-country,Jenny Rissveds
Sweden,SWE,2016-08-19T22:17:32Z,Silver,Football,Women,Women's team
Sweden,SWE,2016-08-19T17:20:00Z,Silver,Equestrian,Jumping Individual,Peder Fredricson
Sweden,SWE,2016-08-18T20:20:00Z,Bronze,Wrestling,Women's Freestyle 53 kg,Sofia Magdalena Mattsson
Sweden,SWE,2016-08-17T22:00:00Z,Bronze,Wrestling,Women's Freestyle 69 kg,Anna Jenny Fransson
Sweden,SWE,2016-08-14T18:46:24Z,Silver,Golf,Men's Individual Stroke Play,Henrik Stenson
Sweden,SWE,2016-08-13T19:00:00Z,Silver,Shooting,Skeet Men,Marcus Svensson
Sweden,SWE,2016-08-12T02:23:00Z,Bronze,Swimming,Women's 100m Freestyle,Sarah Sjostrom
Sweden,SWE,2016-08-10T01:25:00Z,Silver,Swimming,Women's 200m Freestyle,Sarah Sjostrom
Sweden,SWE,2016-08-08T01:08:00Z,Gold,Swimming,Women's 100m Butterfly,Sarah Sjostrom
Sweden,SWE,2016-08-07T19:21:00Z,Silver,Cycling Road,Women's Road Race,Emma Johansson
Thailand,THA,2016-08-18T01:30:00Z,Silver,Taekwondo,Men -58kg,Tawin Hanprab
Thailand,THA,2016-08-18T00:45:00Z,Bronze,Taekwondo,Women -49kg,Panipak Wongpattanakit
Thailand,THA,2016-08-08T20:10:00Z,Silver,Weightlifting,Women's 58kg,Pimsiri Sirikaew
Thailand,THA,2016-08-08T20:10:00Z,Gold,Weightlifting,Women's 58kg,Sukanya Srisurat
Thailand,THA,2016-08-07T23:40:00Z,Bronze,Weightlifting,Men's 56kg,Sinphet Kruaithong
Thailand,THA,2016-08-06T23:40:00Z,Gold,Weightlifting,Women's 48kg,Sopita Tanasan
Tajikistan,TJK,2016-08-20T01:25:00Z,Gold,Athletics,Men's Hammer Throw,Dilshod Nazarov
Taiwan,TPE,2016-08-08T20:10:00Z,Bronze,Weightlifting,Women's 58kg,Hsing-Chun Kuo
Taiwan,TPE,2016-08-07T20:10:00Z,Gold,Weightlifting,Women's 53kg,Shu-Ching Hsu
Taiwan,TPE,2016-08-07T20:04:00Z,Bronze,Archery,Women's Team,Women's team
Trinidad and Tobago,TTO,2016-08-21T01:15:00Z,Bronze,Athletics,Men's Javelin Throw,Keshorn Walcott
Tunisia,TUN,2016-08-20T00:30:00Z,Bronze,Taekwondo,Men -80kg,Oussama Oueslati
Tunisia,TUN,2016-08-17T21:00:00Z,Bronze,Wrestling,Women's Freestyle 58 kg,Marwa Amri
Tunisia,TUN,2016-08-10T22:45:00Z,Bronze,Fencing,Women's Foil Individual,Ines Boubakri
Turkey,TUR,2016-08-20T21:38:00Z,Gold,Wrestling,Men's Freestyle 125 kg,Taha Akgul
Turkey,TUR,2016-08-20T20:38:00Z,Silver,Wrestling,Men's Freestyle 86 kg,Selim Yasar
Turkey,TUR,2016-08-20T00:45:00Z,Bronze,Taekwondo,Women -67kg,Nur Tatar
Turkey,TUR,2016-08-19T21:30:00Z,Bronze,Wrestling,Men's Freestyle 74 kg,Soner Demirtas
Turkey,TUR,2016-08-18T15:01:00Z,Bronze,Athletics,Men's 400m Hurdles,Yasmani Copello
Turkey,TUR,2016-08-16T21:08:00Z,Bronze,Wrestling,Men's Greco-Roman 98 kg,Cenk Ildem
Turkey,TUR,2016-08-15T20:48:00Z,Silver,Wrestling,Men's Greco-Roman 130 kg,Riza Kayaalp
Turkey,TUR,2016-08-09T23:40:00Z,Silver,Weightlifting,Men's 69kg,Daniyar Ismayilov
United Arab Emirates,UAE,2016-08-09T19:54:00Z,Bronze,Judo,Men -81 kg,Sergiu Toma
Ukraine,UKR,2016-08-20T21:20:00Z,Silver,Modern Pentathlon,Men's Individual,Pavlo Tymoshchenko
Ukraine,UKR,2016-08-20T20:42:00Z,Bronze,Gymnastics Rhythmic,Individual All-Around,Ganna Rizatdinova
Ukraine,UKR,2016-08-20T12:29:00Z,Bronze,Canoe Sprint,Men's Canoe Double 1000m,Ianchuk/Mishchuk
Ukraine,UKR,2016-08-18T12:30:00Z,Gold,Canoe Sprint,Men's Canoe Single 200m,Iurii Cheban
Ukraine,UKR,2016-08-17T01:36:00Z,Bronze,Athletics,Men's High Jump,Bohdan Bondarenko
Ukraine,UKR,2016-08-16T17:30:00Z,Gold,Gymnastics Artistic,Men's Parallel Bars,Oleg Verniaiev
Ukraine,UKR,2016-08-15T20:24:00Z,Silver,Wrestling,Men's Greco-Roman 85 kg,Zhan Beleniuk
Ukraine,UKR,2016-08-13T22:15:00Z,Silver,Fencing,Women's Sabre Team,Women's team
Ukraine,UKR,2016-08-10T21:30:00Z,Silver,Gymnastics Artistic,Men's Individual All-Around,Oleg Verniaiev
Ukraine,UKR,2016-08-08T20:45:00Z,Bronze,Fencing,Women's Sabre Individual,Olga Kharlan
Ukraine,UKR,2016-08-08T15:30:00Z,Silver,Shooting,10m Air Rifle Men,Serhiy Kulish
United States,USA,2016-08-21T20:29:26Z,Gold,Basketball,Men,Men's team
United States,USA,2016-08-21T18:23:00Z,Gold,Wrestling,Men's Freestyle 97 kg,Kyle Frederick Snyder
United States,USA,2016-08-21T17:12:00Z,Gold,Boxing,Women's Middle (69-75kg),Claressa Maria Shields
United States,USA,2016-08-21T15:15:00Z,Bronze,Athletics,Men's Marathon,Galen Rupp
United States,USA,2016-08-21T14:39:00Z,Bronze,Volleyball,Men,Men's team
United States,USA,2016-08-21T01:38:00Z,Gold,Athletics,Men's 4 x 400m Relay,Men's team
United States,USA,2016-08-21T01:04:00Z,Gold,Athletics,Women's 4 x 400m Relay,Women's team
United States,USA,2016-08-21T00:45:00Z,Bronze,Taekwondo,Women +67kg,Jackie Galloway
United States,USA,2016-08-21T00:44:00Z,Silver,Athletics,Men's 5000m,Paul Kipkemoi Chelimo
United States,USA,2016-08-21T00:04:00Z,Gold,Athletics,Men's 1500m,Matthew Centrowitz
United States,USA,2016-08-20T20:55:00Z,Bronze,Diving,Men's 10m Platform,David Boudia
United States,USA,2016-08-20T20:23:00Z,Bronze,Wrestling,Men's Freestyle 86 kg,J'den Michael Tbory Cox
United States,USA,2016-08-20T20:08:32Z,Gold,Basketball,Women,Women's team
United States,USA,2016-08-20T17:52:00Z,Bronze,Volleyball,Women,Women's team
United States,USA,2016-08-20T17:29:44Z,Silver,Boxing,Men's Bantam (56kg),Shakur Stevenson
United States,USA,2016-08-20T16:00:00Z,Gold,Triathlon,Women,Gwen Jorgensen
United States,USA,2016-08-20T01:36:00Z,Silver,Athletics,Women's Pole Vault,Sandi Morris
United States,USA,2016-08-20T01:16:00Z,Gold,Athletics,Women's 4 x 100m Relay,Women's team
United States,USA,2016-08-19T19:38:20Z,Gold,Water Polo,Women,Women's team
United States,USA,2016-08-19T18:15:00Z,Gold,Cycling BMX,Men,Connor Fields
United States,USA,2016-08-19T18:05:00Z,Silver,Cycling BMX,Women,Alise Post
United States,USA,2016-08-19T01:16:00Z,Bronze,Athletics,Women's 400m Hurdles,Ashley Spencer
United States,USA,2016-08-19T01:16:00Z,Gold,Athletics,Women's 400m Hurdles,Dalilah Muhammad
United States,USA,2016-08-19T01:01:00Z,Gold,Athletics,Men's Decathlon,Ashton Eaton
United States,USA,2016-08-19T00:35:00Z,Silver,Athletics,Men's Shot Put,Joe Kovacs
United States,USA,2016-08-19T00:35:00Z,Gold,Athletics,Men's Shot Put,Ryan Crouser
United States,USA,2016-08-18T20:30:00Z,Gold,Wrestling,Women's Freestyle 53 kg,Helen Louise Maroulis
United States,USA,2016-08-18T15:01:00Z,Gold,Athletics,Men's 400m Hurdles,Kerron Clement
United States,USA,2016-08-18T01:56:00Z,Bronze,Athletics,Women's 100m Hurdles,Kristi Castlin
United States,USA,2016-08-18T01:56:00Z,Silver,Athletics,Women's 100m Hurdles,Nia Ali
United States,USA,2016-08-18T01:56:00Z,Gold,Athletics,Women's 100m Hurdles,Brianna Rollins
United States,USA,2016-08-18T01:50:00Z,Bronze,Beach Volleyball,Women,Walsh Jennings/Ross
United States,USA,2016-08-18T01:40:00Z,Silver,Athletics,Women's Long Jump,Brittney Reese
United States,USA,2016-08-18T01:40:00Z,Gold,Athletics,Women's Long Jump,Tianna Bartoletta
United States,USA,2016-08-18T01:31:00Z,Bronze,Athletics,Women's 200m,Tori Bowie
United States,USA,2016-08-17T15:20:00Z,Silver,Equestrian,Jumping Team,Mixed team
United States,USA,2016-08-17T15:04:00Z,Silver,Athletics,Men's 3000m Steeplechase,Evan Jager
United States,USA,2016-08-17T01:34:00Z,Bronze,Athletics,Women's 1500m,Jennifer Simpson
United States,USA,2016-08-16T20:42:00Z,Silver,Cycling Track,Women's Omnium,Sarah Hammer
United States,USA,2016-08-16T19:11:00Z,Silver,Gymnastics Artistic,Men's Horizontal Bar,Danell Leyva
United States,USA,2016-08-16T18:35:00Z,Bronze,Sailing,Finn Men,Caleb Paine
United States,USA,2016-08-16T18:17:00Z,Silver,Gymnastics Artistic,Women's Floor Exercise,Alexandra Raisman
United States,USA,2016-08-16T18:17:00Z,Gold,Gymnastics Artistic,Women's Floor Exercise,Simone Biles
United States,USA,2016-08-16T17:30:00Z,Silver,Gymnastics Artistic,Men's Parallel Bars,Danell Leyva
United States,USA,2016-08-16T14:15:00Z,Silver,Athletics,Men's Triple Jump,Will Claye
United States,USA,2016-08-16T14:15:00Z,Gold,Athletics,Men's Triple Jump,Christian Taylor
United States,USA,2016-08-16T02:46:00Z,Bronze,Athletics,Men's Pole Vault,Sam Kendricks
United States,USA,2016-08-16T02:06:00Z,Silver,Athletics,Women's 400m,Allyson Felix
United States,USA,2016-08-16T01:47:00Z,Bronze,Athletics,Men's 800m,Clayton Murphy
United States,USA,2016-08-15T19:16:00Z,Bronze,Gymnastics Artistic,Women's Balance Beam,Simone Biles
United States,USA,2016-08-15T19:16:00Z,Silver,Gymnastics Artistic,Women's Balance Beam,Lauren Hernandez
United States,USA,2016-08-15T14:25:00Z,Bronze,Athletics,Women's 3000m Steeplechase,Emma Coburn
United States,USA,2016-08-15T01:26:00Z,Silver,Athletics,Men's 100m,Justin Gatlin
United States,USA,2016-08-15T01:01:00Z,Bronze,Athletics,Men's 400m,Lashawn Merritt
United States,USA,2016-08-14T23:40:00Z,Bronze,Weightlifting,Women's +75kg,Sarah Elizabeth Robles
United States,USA,2016-08-14T20:02:00Z,Silver,Gymnastics Artistic,Women's Uneven Bars,Madison Kocian
United States,USA,2016-08-14T19:11:00Z,Bronze,Gymnastics Artistic,Men's Pommel Horse,Alexander Naddour
United States,USA,2016-08-14T18:46:24Z,Bronze,Golf,Men's Individual Stroke Play,Matt Kuchar
United States,USA,2016-08-14T18:17:00Z,Gold,Gymnastics Artistic,Women's Vault,Simone Biles
United States,USA,2016-08-14T18:00:00Z,Silver,Tennis,Mixed Doubles,Williams/Ram
United States,USA,2016-08-14T18:00:00Z,Gold,Tennis,Mixed Doubles,Mattek-Sands/Sock
United States,USA,2016-08-14T02:16:00Z,Gold,Swimming,Men's 4 x 100m Medley Relay,Men's team
United States,USA,2016-08-14T02:01:00Z,Gold,Swimming,Women's 4 x 100m Medley Relay,Women's team
United States,USA,2016-08-14T01:38:00Z,Silver,Athletics,Women's 100m,Tori Bowie
United States,USA,2016-08-14T01:30:00Z,Silver,Swimming,Men's 1500m Freestyle,Connor Jaeger
United States,USA,2016-08-14T01:23:00Z,Gold,Athletics,Men's Long Jump,Jeff Henderson
United States,USA,2016-08-14T01:08:00Z,Silver,Swimming,Women's 50m Freestyle,Simone Manuel
United States,USA,2016-08-13T20:45:00Z,Bronze,Fencing,Women's Sabre Team,Women's team
United States,USA,2016-08-13T20:21:00Z,Silver,Cycling Track,Women's Team Pursuit,Women's team
United States,USA,2016-08-13T14:13:00Z,Gold,Rowing,Women's Eight,Women's team
United States,USA,2016-08-13T13:52:00Z,Silver,Rowing,Women's Single Sculls,Genevra Stone
United States,USA,2016-08-13T02:00:00Z,Gold,Athletics,Women's Shot Put,Michelle Carter
United States,USA,2016-08-13T01:48:00Z,Bronze,Swimming,Men's 50m Freestyle,Nathan Adrian
United States,USA,2016-08-13T01:48:00Z,Gold,Swimming,Men's 50m Freestyle,Anthony Ervin
United States,USA,2016-08-13T01:33:00Z,Gold,Swimming,Women's 800m Freestyle,Katie Ledecky
United States,USA,2016-08-13T01:17:00Z,Silver,Swimming,Men's 100m Butterfly,Michael Phelps
United States,USA,2016-08-13T01:09:00Z,Gold,Swimming,Women's 200m Backstroke,Madeline Dirado
United States,USA,2016-08-12T21:00:00Z,Bronze,Fencing,Men's Foil Team,Men's team
United States,USA,2016-08-12T19:40:00Z,Bronze,Archery,Men's Individual,Brady Ellison
United States,USA,2016-08-12T19:30:00Z,Bronze,Tennis,Men's Doubles,Johnson/Sock
United States,USA,2016-08-12T19:24:00Z,Bronze,Equestrian,Dressage Team,Mixed team
United States,USA,2016-08-12T18:25:00Z,Bronze,Shooting,Skeet Women,Kimberly Rhode
United States,USA,2016-08-12T15:36:26Z,Bronze,Boxing,Men's Light Fly (46-49kg),Nico Miguel Hernandez
United States,USA,2016-08-12T02:23:00Z,Gold,Swimming,Women's 100m Freestyle,Simone Manuel
United States,USA,2016-08-12T02:07:00Z,Gold,Swimming,Men's 200m Individual Medley,Michael Phelps
United States,USA,2016-08-12T01:32:00Z,Gold,Swimming,Men's 200m Backstroke,Ryan Murphy
United States,USA,2016-08-11T20:55:00Z,Silver,Gymnastics Artistic,Women's Individual All-Around,Alexandra Raisman
United States,USA,2016-08-11T20:55:00Z,Gold,Gymnastics Artistic,Women's Individual All-Around,Simone Biles
United States,USA,2016-08-11T19:47:00Z,Gold,Judo,Women -78 kg,Kayla Harrison
United States,USA,2016-08-11T03:07:00Z,Gold,Swimming,Women's 4 x 200m Freestyle Relay,Women's team
United States,USA,2016-08-11T02:08:00Z,Bronze,Swimming,Men's 100m Freestyle,Nathan Adrian
United States,USA,2016-08-11T01:09:00Z,Silver,Swimming,Men's 200m Breaststroke,Josh Prenot
United States,USA,2016-08-11T00:10:00Z,Silver,Fencing,Men's Sabre Individual,Daryl Homer
United States,USA,2016-08-10T20:00:00Z,Silver,Diving,Men's Synchronised 3m Springboard,Dorman/Hixon
United States,USA,2016-08-10T12:46:00Z,Gold,Cycling Road,Women's Individual Time Trial,Kristin Armstrong
United States,USA,2016-08-10T02:50:00Z,Gold,Swimming,Men's 4 x 200m Freestyle Relay,Men's team
United States,USA,2016-08-10T02:35:00Z,Bronze,Swimming,Women's 200m Individual Medley,Madeline Dirado
United States,USA,2016-08-10T01:34:00Z,Gold,Swimming,Men's 200m Butterfly,Michael Phelps
United States,USA,2016-08-10T01:25:00Z,Gold,Swimming,Women's 200m Freestyle,Katie Ledecky
United States,USA,2016-08-09T20:55:00Z,Gold,Gymnastics Artistic,Women's Team,Women's team
United States,USA,2016-08-09T20:08:00Z,Silver,Judo,Men -81 kg,Travis Stevens
United States,USA,2016-08-09T17:56:00Z,Bronze,Equestrian,Eventing Individual,Phillip Dutton
United States,USA,2016-08-09T01:59:00Z,Bronze,Swimming,Women's 100m Breaststroke,Catherine Meili
United States,USA,2016-08-09T01:59:00Z,Gold,Swimming,Women's 100m Breaststroke,Lilly King
United States,USA,2016-08-09T01:43:00Z,Bronze,Swimming,Men's 100m Backstroke,David Plummer
United States,USA,2016-08-09T01:43:00Z,Gold,Swimming,Men's 100m Backstroke,Ryan Murphy
United States,USA,2016-08-09T01:35:00Z,Silver,Swimming,Women's 100m Backstroke,Kathleen Baker
United States,USA,2016-08-09T01:27:00Z,Bronze,Swimming,Men's 200m Freestyle,Conor Dwyer
United States,USA,2016-08-08T20:00:00Z,Silver,Diving,Men's Synchronised 10m Platform,Boudia/Johnson
United States,USA,2016-08-08T03:00:00Z,Gold,Swimming,Men's 4 x 100m Freestyle Relay,Men's team
United States,USA,2016-08-08T02:09:00Z,Bronze,Swimming,Women's 400m Freestyle,Leah Smith
United States,USA,2016-08-08T02:09:00Z,Gold,Swimming,Women's 400m Freestyle,Katie Ledecky
United States,USA,2016-08-08T01:58:00Z,Bronze,Swimming,Men's 100m Breaststroke,Cody Miller
United States,USA,2016-08-08T01:08:00Z,Bronze,Swimming,Women's 100m Butterfly,Dana Vollmer
United States,USA,2016-08-07T21:15:00Z,Silver,Fencing,Men's Foil Individual,Alexander Massialas
United States,USA,2016-08-07T18:45:00Z,Bronze,Shooting,Trap Women,Corey Cogdell
United States,USA,2016-08-07T02:32:00Z,Silver,Swimming,Women's 4 x 100m Freestyle Relay,Women's team
United States,USA,2016-08-07T01:57:00Z,Silver,Swimming,Women's 400m Individual Medley,Madeline Dirado
United States,USA,2016-08-07T01:11:00Z,Silver,Swimming,Men's 400m Individual Medley,Chase Kalisz
United States,USA,2016-08-06T20:32:00Z,Silver,Archery,Men's Team,Men's team
United States,USA,2016-08-06T14:00:00Z,Gold,Shooting,10m Air Rifle Women,Virginia Thrasher
Uzbekistan,UZB,2016-08-21T18:23:28Z,Gold,Boxing,Men's Light Welter (64kg),Fazliddin Gaibnazarov
Uzbekistan,UZB,2016-08-21T18:08:00Z,Bronze,Wrestling,Men's Freestyle 97 kg,Magomed Idrisovitch Ibragimov
Uzbekistan,UZB,2016-08-21T17:29:57Z,Gold,Boxing,Men's Fly (52kg),Shakhobidin Zoirov
Uzbekistan,UZB,2016-08-21T17:08:00Z,Bronze,Wrestling,Men's Freestyle 65 kg,Ikhtiyor Navruzov
Uzbekistan,UZB,2016-08-20T18:23:07Z,Silver,Boxing,Men's Middle (75kg),Bektemir Melikuziev
Uzbekistan,UZB,2016-08-18T17:46:28Z,Bronze,Boxing,Men's Bantam (56kg),Murodjon Akhmadaliev
Uzbekistan,UZB,2016-08-17T19:57:39Z,Silver,Boxing,Men's Welter (69kg),Shakhram Giyasov
Uzbekistan,UZB,2016-08-15T23:40:00Z,Gold,Weightlifting,Men's 105kg,Ruslan Nurudinov
Uzbekistan,UZB,2016-08-14T20:08:00Z,Bronze,Wrestling,Men's Greco-Roman 59 kg,Elmurat Tasmuradov
Uzbekistan,UZB,2016-08-14T17:52:32Z,Gold,Boxing,Men's Light Fly (46-49kg),Hasanboy Dusmatov
Uzbekistan,UZB,2016-08-13T16:07:13Z,Bronze,Boxing,Men's Heavy (91kg),Rustam Tulaganov
Uzbekistan,UZB,2016-08-07T19:54:00Z,Bronze,Judo,Men -66 kg,Rishod Sobirov
Uzbekistan,UZB,2016-08-06T20:01:00Z,Bronze,Judo,Men -60 kg,Diyorbek Urozboev
Venezuela,VEN,2016-08-19T18:05:00Z,Bronze,Cycling BMX,Women,Stefany Hernandez
Venezuela,VEN,2016-08-19T17:11:29Z,Bronze,Boxing,Men's Fly (52kg),Yoel Segundo Finol
Venezuela,VEN,2016-08-15T01:20:00Z,Silver,Athletics,Women's Triple Jump,Yulimar Rojas
Vietnam,VIE,2016-08-10T15:30:00Z,Silver,Shooting,50m Pistol Men,Xuan Vinh Hoang
Vietnam,VIE,2016-08-06T19:00:00Z,Gold,Shooting,10m Air Pistol Men,Xuan Vinh Hoang
